,country,isonum,isocode,year,rank_heal,heal,Sadness,Sadness_year,Joy,Joy_year,healp,healp_year,cityheal,cityheal_year,tblnl,tblnl_year,Obesity,Obesity_year,mort,mort_year,meandiabetes,meandiabetes_year,leb,leb_year,dpt,dpt_year,imeas,imeas_year,impsan,impsan_year
275,Suriname,740,SUR,2008,54,74.08899688720703,***,2012,***,2012,***,2012,***,2012,0.27148810029029846,--,23.4,2010,391.2315673828125,--,10.067663192749023,2008,69.795,2008,85,2008,86,2008,79.9,2008
276,Slovakia,703,SVK,2008,42,75.49339294433594,***,2010,***,2010,***,2010,***,2010,-0.5108256340026855,2008,23.4,2010,678.0,2008,7.458102226257324,2008,74.7048780487805,2008,99,2008,99,2008,98.8,2008
277,Slovenia,705,SVN,2008,37,76.88829803466797,***,2009,***,2009,***,2009,***,2009,-0.10536051541566849,2008,23.2,2010,481.6,2008,8.307655334472656,2008,78.7658536585366,2008,97,2008,96,2008,99.1,2008
278,Sweden,752,SWE,2008,6,81.96170043945312,***,2008,***,2008,***,2008,***,2008,-1.6094379425048828,2008,18.8,2010,402.1,2008,6.826653480529785,2008,81.1,2008,98,2008,96,2008,99.3,2008
279,Swaziland,748,SWZ,2008,105,63.61251449584961,***,2011,***,2011,***,2011,***,2011,0.9949878454208374,--,15.9,2010,700.3761596679688,--,5.810797214508057,2008,47.34582926829269,2008,88,2008,94,2008,55.6,2008
280,Chad,148,TCD,2008,149,41.1772575378418,***,2008,***,2008,***,2008,***,2008,3.309664249420166,--,7.1,2010,1005.7600708007812,--,3.9900741577148438,2008,48.95158536585367,2008,19,2008,27,2008,11.2,2008
281,Togo,768,TGO,2008,143,51.134681701660156,***,2008,***,2008,***,2008,***,2008,3.0893828868865967,--,6.5,2010,786.2381591796875,--,4.223668575286865,2008,56.0059024390244,2008,81,2008,63,2008,11.5,2008
282,Thailand,764,THA,2008,18,79.47254943847656,***,2008,***,2008,***,2008,***,2008,2.1580827236175537,--,6.7,2010,601.3,2006,8.0045804977417,2008,73.18843902439025,2008,99,2008,98,2008,93.5,2008
283,Tajikistan,762,TJK,2008,96,67.65318298339844,***,2008,***,2008,***,2008,***,2008,2.8675270080566406,--,12.1,2010,1062.7039794921875,--,5.724652290344238,2008,67.71458536585368,2008,86,2008,86,2008,93.0,2008
284,Trinidad and Tobago,780,TTO,2008,68,71.89912414550781,***,2008,***,2008,***,2008,***,2008,0.40546509623527527,2008,27.0,2010,795.5,2008,9.354375839233398,2008,69.42892682926829,2008,90,2008,91,2008,91.3,2008
285,Tunisia,788,TUN,2008,63,72.79544830322266,***,2009,***,2009,***,2009,***,2010,1.4811031818389893,--,24.6,2010,564.8627319335938,--,9.860156059265137,2008,74.30243902439025,2008,99,2008,98,2008,87.7,2008
286,Turkey,792,TUR,2008,56,73.93282318115234,***,2008,***,2008,***,2008,***,2008,0.18232156336307526,2009,27.0,2010,457.8,2009,10.75253677368164,2008,73.500756097561,2008,96,2008,97,2008,92.0,2008
287,Tanzania,834,TZA,2008,131,56.101905822753906,***,2008,***,2008,***,2008,***,2008,4.126928806304932,--,5.6,2010,1201.012939453125,--,3.7911128997802734,2008,59.31470731707318,2008,86,2008,88,2008,12.2,2008
288,Uganda,800,UGA,2008,137,53.29865646362305,***,2008,***,2008,***,2008,***,2008,3.835239887237549,--,3.7,2010,1061.591064453125,--,2.319431781768799,2008,54.4619756097561,2008,71,2008,70,2008,17.5,2008
289,Ukraine,804,UKR,2008,103,64.5714340209961,***,2008,***,2008,***,2008,***,2008,2.9601051807403564,2008,18.7,2010,1035.2,2008,8.347033500671387,2008,68.25146341463416,2008,90,2008,94,2008,95.4,2008
290,Uruguay,858,URY,2008,39,76.33052825927734,***,2008,***,2008,***,2008,***,2008,0.0,2008,23.8,2010,570.8,2008,10.101115226745605,2008,76.10107317073172,2008,94,2008,95,2008,95.1,2008
291,United States,840,USA,2008,19,79.35816955566406,***,2008,***,2008,***,2008,***,2008,-2.3025851249694824,2008,31.2,2010,499.3,2008,8.310661315917969,2008,78.03902439024391,2008,96,2008,92,2008,99.9,2008
292,Venezuela,862,VEN,2008,75,70.64158630371094,***,2008,***,2008,***,2008,***,2008,1.1314021348953247,2008,23.3,2010,616.0,2008,8.021944999694824,2008,73.47624390243904,2008,50,2008,93,2008,92.1,2008
293,Vietnam,704,VNM,2008,76,70.60892486572266,***,2008,***,2008,***,2008,***,2008,3.211698532104492,--,2.6,2010,835.511474609375,--,4.270230293273926,2008,74.65309756097561,2008,93,2008,92,2008,66.4,2008
294,Yemen,887,YEM,2008,121,58.43445587158203,***,2009,***,2009,***,2009,***,2009,3.5672593116760254,--,15.7,2010,921.8889770507812,--,6.327877998352051,2008,62.21136585365854,2008,87,2008,73,2008,52.0,2008
295,South Africa,710,ZAF,2008,138,53.29024124145508,***,2008,***,2008,***,2008,***,2008,5.195176601409912,2008,24.1,2010,1603.0,2008,8.503485679626465,2008,52.63602439024391,2008,73,2008,64,2008,62.3,2008
296,Zambia,894,ZMB,2008,118,59.533573150634766,***,2008,***,2008,***,2008,***,2008,3.341301918029785,--,7.1,2010,1109.586181640625,--,3.7261931896209717,2008,53.90563414634147,2008,87,2008,87,2008,42.4,2008
297,Zimbabwe,716,ZWE,2008,132,55.13323974609375,***,2008,***,2008,***,2008,***,2008,2.2861087322235107,--,9.7,2010,804.9846801757812,--,4.449758052825928,2008,45.80448780487806,2008,75,2008,70,2008,38.1,2008
298,Afghanistan,4,AFG,2009,140,53.303165435791016,***,2009,***,2009,***,2009,***,2009,3.4859085083007812,--,2.4,2010,848.8392944335938,--,7.358956336975098,2009,58.60368292682927,2009,63,2009,60,2009,28.7,2009
299,Angola,24,AGO,2009,130,56.17512893676758,***,2011,***,2011,***,2011,***,2011,2.9558451175689697,--,8.3,2010,885.0047607421875,--,4.8375043869018555,2009,50.251024390243906,2009,73,2009,77,2009,44.7,2009
300,Albania,8,ALB,2009,51,74.61124420166016,***,2009,***,2009,***,2009,***,2009,-2.3025851249694824,2009,16.1,2010,466.4,2009,7.54201602935791,2009,76.84036585365855,2009,98,2009,97,2009,90.2,2009
301,United Arab Emirates,784,ARE,2009,29,78.32972717285156,***,2009,***,2009,***,2009,***,2009,0.2158738374710083,--,34.5,2010,485.5,2009,6.5081467628479,2009,76.49478048780489,2009,93,2009,93,2009,97.5,2009
302,Argentina,32,ARG,2009,39,76.56415557861328,***,2009,***,2009,***,2009,***,2009,0.3364722430706024,2009,23.7,2010,589.1,2009,9.405706405639648,2009,75.32456097560976,2009,94,2009,99,2009,94.5,2009
303,Armenia,51,ARM,2009,93,67.86096954345703,***,2009,***,2009,***,2009,***,2009,1.3862943649291992,2009,17.8,2010,790.8,2009,10.748104095458984,2009,74.0958292682927,2009,93,2009,96,2009,89.5,2009
304,Australia,36,AUS,2009,9,81.36172485351562,***,2008,***,2008,***,2008,***,2008,-2.3025851249694824,2009,26.0,2010,363.6,2009,7.0973920822143555,2009,81.54390243902441,2009,92,2009,94,2009,100.0,2009
305,Austria,40,AUT,2009,22,79.38566589355469,***,2009,***,2009,***,2009,***,2009,-1.2039728164672852,2009,16.7,2010,429.0,2009,5.853394508361816,2009,80.33170731707318,2009,83,2009,76,2009,100.0,2009
306,Azerbaijan,31,AZE,2009,101,66.26577758789062,***,2009,***,2009,***,2009,***,2009,1.2527629137039185,2007,19.4,2010,730.1,2007,9.330667495727539,2009,70.29368292682929,2009,81,2009,85,2009,80.0,2009
307,Burundi,108,BDI,2009,110,62.155487060546875,***,2009,***,2009,***,2009,***,2009,3.787709951400757,--,2.0,2010,837.2401123046875,--,2.2006044387817383,2009,54.35121951219514,2009,94,2009,91,2009,46.7,2009
308,Belgium,56,BEL,2009,10,81.25670623779297,***,2008,***,2008,***,2008,***,2008,-1.6094379425048828,2009,18.7,2010,440.1,2009,6.376070022583008,2009,79.98292682926831,2009,98,2009,95,2009,99.5,2009
309,Benin,204,BEN,2009,136,54.622154235839844,***,2008,***,2008,***,2008,***,2008,3.3524653911590576,--,8.0,2010,930.47705078125,--,4.586808681488037,2009,58.49126829268293,2009,79,2009,71,2009,16.7,2009
310,Burkina Faso,854,BFA,2009,116,60.28289794921875,***,2008,***,2008,***,2008,***,2008,3.2314321994781494,--,5.3,2010,634.3546142578125,--,3.692408561706543,2009,56.524975609756105,2009,92,2009,94,2009,16.8,2009
311,Bangladesh,50,BGD,2009,100,66.64332580566406,***,2009,***,2009,***,2009,***,2009,4.169143199920654,--,2.9,2010,848.553466796875,--,6.918296813964844,2009,69.68378048780488,2009,97,2009,93,2009,54.8,2009
312,Bulgaria,100,BGR,2009,87,69.37877655029297,***,2009,***,2009,***,2009,***,2009,0.5306282639503479,2009,21.2,2010,744.1,2009,9.346674919128418,2009,73.41219512195123,2009,94,2009,96,2009,85.9,2009
313,Bahrain,48,BHR,2009,33,77.93274688720703,***,2009,***,2009,***,2009,***,2009,-0.10536051541566849,2009,32.5,2010,504.7,2009,7.64504337310791,2009,75.98778048780488,2009,98,2009,99,2009,99.2,2009
314,Belarus,112,BLR,2009,95,67.676513671875,***,2009,***,2009,***,2009,***,2009,1.8405495882034302,2009,21.0,2010,904.4,2009,8.735038757324219,2009,70.40731707317074,2009,96,2009,99,2009,94.5,2009
315,Belize,84,BLZ,2009,63,73.08808135986328,***,2007,***,2007,***,2007,***,2007,0.18934877216815948,--,20.8,2010,673.0816040039062,--,8.516660690307617,2009,69.70307317073171,2009,97,2009,97,2009,88.6,2009
316,Bolivia,68,BOL,2009,102,65.8568344116211,***,2009,***,2009,***,2009,***,2009,2.313178777694702,--,15.3,2010,704.580810546875,--,5.878185749053955,2009,65.84800000000001,2009,93,2009,93,2009,45.8,2009
317,Brazil,76,BRA,2009,71,71.93482208251953,***,2009,***,2009,***,2009,***,2009,1.0647107362747192,2009,17.8,2010,663.6,2009,7.074045181274414,2009,72.97802439024392,2009,99,2009,99,2009,79.9,2009
318,Botswana,72,BWA,2009,85,69.82515716552734,***,2008,***,2008,***,2008,***,2008,0.18994678556919098,--,19.4,2010,543.6211547851562,--,5.301033020019531,2009,62.41709756097561,2009,96,2009,96,2009,59.8,2009
319,Central African Republic,140,CAF,2009,147,47.97013854980469,***,2007,***,2007,***,2007,***,2007,3.444537401199341,--,4.4,2010,867.2015380859375,--,4.899199485778809,2009,46.9349756097561,2009,42,2009,56,2009,20.3,2009
320,Canada,124,CAN,2009,13,80.61620330810547,***,2009,***,2009,***,2009,***,2009,-2.3025851249694824,2009,25.9,2010,388.8,2009,6.861599922180176,2009,81.11146341463416,2009,95,2009,95,2009,99.8,2009
321,Switzerland,756,CHE,2009,3,83.20677185058594,***,2009,***,2009,***,2009,***,2009,-2.3025851249694824,2009,17.8,2010,360.3,2009,5.392204761505127,2009,82.0439024390244,2009,95,2009,92,2009,99.9,2009
322,Chile,152,CHL,2009,43,75.28202819824219,***,2009,***,2009,***,2009,***,2009,0.8754687309265137,2009,25.3,2010,458.9,2009,9.982177734375,2009,79.96080487804878,2009,94,2009,93,2009,97.1,2009
323,China,156,CHN,2009,48,74.95780181884766,***,2009,***,2009,***,2009,***,2009,3.534611940383911,--,5.3,2010,662.8924560546875,--,7.824764251708984,2009,74.80326829268293,2009,99,2009,99,2009,69.6,2009
324,Ivory Coast,384,CIV,2009,138,53.55923080444336,***,2009,***,2009,***,2009,***,2009,3.3572936058044434,--,7.9,2010,779.7310180664062,--,4.542630195617676,2009,49.74048780487806,2009,81,2009,67,2009,20.6,2009
325,Cameroon,120,CMR,2009,122,58.15019607543945,***,2009,***,2009,***,2009,***,2009,3.2606611251831055,--,9.8,2010,861.0916748046875,--,4.2598466873168945,2009,53.26485365853659,2009,80,2009,74,2009,44.4,2009
326,Democratic Republic of Congo,180,COD,2009,146,50.60784912109375,***,2009,***,2009,***,2009,***,2009,5.4063873291015625,--,3.7,2010,1083.7415771484375,--,3.6892175674438477,2009,56.33707317073171,2009,72,2009,72,2009,26.4,2009
327,Congo,178,COG,2009,143,52.604347229003906,***,2008,***,2008,***,2008,***,2008,2.68802809715271,--,9.5,2010,911.5003051757812,--,4.941872596740723,2009,58.093634146341465,2009,78,2009,63,2009,14.1,2009
328,Colombia,170,COL,2009,58,74.06777954101562,***,2009,***,2009,***,2009,***,2009,1.0647107362747192,2009,19.0,2010,534.5,2009,7.083806037902832,2009,73.09695121951219,2009,92,2009,89,2009,78.9,2009
329,Comoros,174,COM,2009,125,57.178993225097656,***,2009,***,2009,***,2009,***,2009,2.441258668899536,--,5.6,2010,921.6510009765625,--,4.9668989181518555,2009,61.444195121951225,2009,83,2009,79,2009,31.9,2009
330,Costa Rica,188,CRI,2009,35,77.32966613769531,***,2009,***,2009,***,2009,***,2009,0.0,2009,21.9,2010,391.4,2009,7.4278035163879395,2009,78.59260975609756,2009,86,2009,81,2009,93.7,2009
331,Cyprus,196,CYP,2009,27,78.53689575195312,***,2009,***,2009,***,2009,***,2009,-2.995732307434082,2009,22.0,2010,391.7,2009,7.3035078048706055,2009,79.19948780487805,2009,99,2009,87,2009,100.0,2009
332,Czech Republic,203,CZE,2009,34,77.65086364746094,***,2009,***,2009,***,2009,***,2009,-1.2039728164672852,2009,25.3,2010,565.2,2009,9.016890525817871,2009,77.0780487804878,2009,99,2009,98,2009,99.1,2009
333,Germany,276,DEU,2009,11,81.17115020751953,***,2009,***,2009,***,2009,***,2009,-1.6094379425048828,2009,18.5,2010,436.9,2009,7.030320167541504,2009,79.83658536585368,2009,96,2009,97,2009,99.2,2009
334,Djibouti,262,DJI,2009,107,63.5415153503418,***,2009,***,2009,***,2009,***,2009,1.6067994832992554,--,8.3,2010,927.3478393554688,--,5.892972469329834,2009,59.84280487804879,2009,89,2009,84,2009,49.5,2009
335,Denmark,208,DNK,2009,32,78.01696014404297,***,2009,***,2009,***,2009,***,2009,-1.2039728164672852,2009,17.7,2010,488.2,2009,6.00794792175293,2009,78.59756097560977,2009,89,2009,84,2009,99.6,2009
336,Dominican Republic,214,DOM,2009,80,70.61715698242188,***,2009,***,2009,***,2009,***,2009,1.381137490272522,--,21.0,2010,535.6406860351562,--,8.108789443969727,2009,72.54831707317074,2009,82,2009,84,2009,81.7,2009
337,Algeria,12,DZA,2009,68,72.4391860961914,***,2011,***,2010,***,2011,***,2011,2.1716015338897705,--,22.6,2010,611.7557373046875,--,8.783754348754883,2009,73.52102439024391,2009,95,2009,92,2009,86.4,2009
338,Ecuador,218,ECU,2009,57,74.1675796508789,***,2009,***,2009,***,2009,***,2009,1.5475624799728394,2009,16.8,2010,480.9,2009,6.2708234786987305,2009,74.84460975609757,2009,94,2009,97,2009,79.6,2009
339,Egypt,818,EGY,2009,78,70.87928771972656,***,2009,***,2009,***,2009,***,2009,-0.2231435477733612,2009,26.2,2010,853.4,2009,13.636421203613281,2009,70.15014634146341,2009,97,2009,95,2009,94.4,2009
340,Spain,724,ESP,2009,14,80.36238861083984,***,2009,***,2009,***,2009,***,2009,-0.9162907600402832,2009,22.1,2010,382.1,2009,8.981216430664062,2009,81.47560975609755,2009,96,2009,98,2009,99.9,2009
341,Estonia,233,EST,2009,70,72.28128051757812,***,2009,***,2009,***,2009,***,2009,0.8754687309265137,2009,21.2,2010,649.1,2009,8.749858856201172,2009,74.82439024390244,2009,95,2009,95,2009,97.1,2009
342,Ethiopia,231,ETH,2009,139,53.41529083251953,***,2012,***,2012,***,2012,***,2013,4.672703266143799,--,3.3,2010,1103.157470703125,--,3.4404091835021973,2009,60.41578048780488,2009,58,2009,59,2009,20.4,2009
343,Finland,246,FIN,2009,17,79.89371490478516,***,2008,***,2008,***,2008,***,2008,-0.9162907600402832,2009,19.0,2010,443.4,2009,7.5769500732421875,2009,79.71951219512196,2009,99,2009,98,2009,97.6,2009
344,France,250,FRA,2009,15,80.30619049072266,***,2009,***,2009,***,2009,***,2009,-0.9162907600402832,2009,22.0,2010,389.5,2009,7.681128978729248,2009,81.41463414634147,2009,98,2009,89,2009,98.7,2009
345,Gabon,266,GAB,2009,126,57.106422424316406,***,2011,***,2011,***,2011,***,2011,0.5719349980354309,--,15.7,2010,640.5640869140625,--,7.506180763244629,2009,61.53146341463415,2009,76,2009,63,2009,40.7,2009
346,United Kingdom,826,GBR,2009,18,79.86895751953125,***,2009,***,2009,***,2009,***,2009,-0.9162907600402832,2009,25.5,2010,430.3,2009,7.344409942626953,2009,80.05121951219512,2009,93,2009,86,2009,99.2,2009
347,Georgia,268,GEO,2009,98,67.23296356201172,***,2009,***,2009,***,2009,***,2009,0.9932518005371094,2009,18.6,2010,704.6,2009,12.262933731079102,2009,73.81541463414634,2009,88,2009,83,2009,89.9,2009
348,Ghana,288,GHA,2009,114,60.383338928222656,***,2009,***,2009,***,2009,***,2009,2.8603007793426514,--,10.1,2010,783.0848388671875,--,4.373476028442383,2009,60.35546341463415,2009,94,2009,93,2009,13.3,2009
349,Guinea,324,GIN,2009,148,47.786746978759766,***,2011,***,2011,***,2011,***,2011,3.742950439453125,--,5.8,2010,1050.6524658203125,--,4.1564106941223145,2009,55.556146341463425,2009,57,2009,53,2009,17.3,2009
350,Greece,300,GRC,2009,31,78.07525634765625,***,2009,***,2009,***,2009,***,2009,-0.9162907600402832,2009,21.3,2010,437.9,2009,8.560372352600098,2009,80.18780487804878,2009,99,2009,99,2009,98.2,2009
351,Guatemala,320,GTM,2009,76,71.11598205566406,***,2009,***,2009,***,2009,***,2009,1.2809338569641113,2009,17.1,2010,720.7,2009,6.88895320892334,2009,70.54753658536586,2009,92,2009,92,2009,60.9,2009
352,Guyana,328,GUY,2009,84,69.9472427368164,***,2007,***,2007,***,2007,***,2007,2.406944990158081,2009,20.5,2010,934.2,2009,7.266685962677002,2009,65.95700000000002,2009,98,2009,97,2009,82.8,2009
353,Hong Kong,344,HKG,2009,7,82.35880279541016,***,2009,***,2009,***,2009,***,2009,0.5306282639503479,2009,8.055869102478027,--,338.5,2009,8.846267700195312,2009,82.77560975609757,2009,99,--,99,--,100.0,--
354,Honduras,340,HND,2009,62,73.38623046875,***,2009,***,2009,***,2009,***,2009,2.2888848781585693,--,16.5,2010,630.745361328125,--,6.1868767738342285,2009,72.21721951219513,2009,98,2009,99,2009,76.0,2009
355,Croatia,191,HRV,2009,59,73.97441101074219,***,2009,***,2009,***,2009,***,2009,0.40546509623527527,2009,21.4,2010,620.1,2009,8.860044479370117,2009,76.16829268292685,2009,96,2009,95,2009,97.1,2009
356,Hungary,348,HUN,2009,49,74.79198455810547,***,2008,***,2008,***,2008,***,2008,0.09531018137931824,2009,22.5,2010,702.4,2009,9.257535934448242,2009,73.90487804878049,2009,99,2009,99,2009,98.0,2009
357,Indonesia,360,IDN,2009,97,67.39396667480469,***,2009,***,2009,***,2009,***,2009,3.4611945152282715,--,4.3,2010,723.404541015625,--,6.196310997009277,2009,67.95763414634148,2009,78,2009,74,2009,56.0,2009
358,India,356,IND,2009,117,60.030704498291016,***,2009,***,2009,***,2009,***,2009,4.338393688201904,--,4.0,2010,885.0339965820312,--,7.165177345275879,2009,66.10263414634147,2009,74,2009,78,2009,34.6,2009
359,Ireland,372,IRL,2009,28,78.4783935546875,***,2009,***,2009,***,2009,***,2009,-0.5108256340026855,2009,23.1,2010,453.0,2009,6.692139625549316,2009,80.19024390243902,2009,94,2009,90,2009,90.0,2009
360,Iran,364,IRN,2009,73,71.68226623535156,***,2008,***,2008,***,2008,***,2008,2.3337135314941406,--,23.9,2010,838.9395751953125,--,8.17267894744873,2009,73.53417073170732,2009,99,2009,99,2009,87.6,2009
361,Iraq,368,IRQ,2009,112,62.133209228515625,***,2009,***,2009,***,2009,***,2009,3.092172622680664,--,21.0,2010,776.891845703125,--,11.123523712158203,2009,68.31992682926831,2009,78,2009,81,2009,82.5,2009
362,Iceland,352,ISL,2009,5,82.76515197753906,***,2008,***,2008,***,2008,***,2008,-1.2407907247543335,--,21.3,2010,354.67431640625,--,7.050966262817383,2009,81.75121951219514,2009,96,2009,92,2009,98.8,2009
363,Israel,376,ISR,2009,19,79.77879333496094,***,2009,***,2009,***,2009,***,2009,-1.6094379425048828,2009,23.5,2010,377.6,2009,6.935046195983887,2009,81.40487804878049,2009,96,2009,97,2009,100.0,2009
364,Italy,380,ITA,2009,20,79.7316665649414,***,2009,***,2009,***,2009,***,2009,-1.2039728164672852,2009,19.6,2010,375.6,2009,7.958696365356445,2009,81.63658536585366,2009,96,2009,90,2009,99.5,2009
365,Jamaica,388,JAM,2009,64,72.96365356445312,***,2011,***,2011,***,2011,***,2011,-0.6931471824645996,2009,24.5,2010,586.8,2009,9.909992218017578,2009,74.58404878048782,2009,90,2009,88,2009,81.5,2009
366,Jordan,400,JOR,2009,42,75.39661407470703,***,2009,***,2009,***,2009,***,2009,1.603662133216858,--,28.1,2010,651.4129028320312,--,11.395380020141602,2009,73.27829268292685,2009,98,2009,95,2009,98.4,2009
367,Japan,392,JPN,2009,4,82.80128479003906,***,2009,***,2009,***,2009,***,2009,-0.10536051541566849,2009,2.9,2010,328.9,2009,9.822309494018555,2009,82.93146341463415,2009,98,2009,94,2009,100.0,2009
368,Kazakhstan,398,KAZ,2009,86,69.53360748291016,***,2009,***,2009,***,2009,***,2009,2.5416018962860107,2009,21.2,2010,978.2,2009,9.96591567993164,2009,68.42926829268293,2009,98,2009,99,2009,97.3,2009
369,Kenya,404,KEN,2009,119,59.40199661254883,***,2009,***,2009,***,2009,***,2009,3.832329750061035,--,5.6,2010,1079.6024169921875,--,3.4213926792144775,2009,57.80043902439025,2009,84,2009,88,2009,29.0,2009
370,Kyrgyzstan,417,KGZ,2009,77,71.06277465820312,***,2009,***,2009,***,2009,***,2009,2.5649492740631104,2009,13.0,2010,943.2,2009,6.988414764404297,2009,69.10243902439026,2009,95,2009,99,2009,92.7,2009
371,Cambodia,116,KHM,2009,99,66.77438354492188,***,2009,***,2009,***,2009,***,2009,2.6922993659973145,--,2.3,2010,797.3990478515625,--,5.051260948181152,2009,65.84446341463416,2009,94,2009,92,2009,31.9,2009
372,South Korea,410,KOR,2009,24,78.90544128417969,***,2009,***,2009,***,2009,***,2009,1.435084581375122,2009,4.2,2010,420.7,2009,8.197338104248047,2009,80.29731707317073,2009,94,2009,93,2009,100.0,2009
373,Kuwait,414,KWT,2009,37,76.990966796875,***,2009,***,2009,***,2009,***,2009,1.2237753868103027,2009,36.8,2010,481.5,2009,13.231518745422363,2009,74.00619512195122,2009,99,2009,99,2009,100.0,2009
374,Laos,418,LAO,2009,104,64.09131622314453,***,2008,***,2008,***,2008,***,2008,2.321815252304077,--,2.5,2010,857.7302856445312,--,5.127143859863281,2009,63.851048780487815,2009,67,2009,59,2009,55.7,2009
375,Lebanon,422,LBN,2009,82,70.11670684814453,***,2009,***,2009,***,2009,***,2009,0.555580198764801,--,28.4,2010,482.2596130371094,--,10.82199764251709,2009,78.21948780487806,2009,81,2009,79,2009,81.1,2009
376,Liberia,430,LBR,2009,132,56.025177001953125,***,2008,***,2008,***,2008,***,2008,3.423896074295044,--,5.4,2010,889.6455688476562,--,4.817936420440674,2009,58.86565853658537,2009,81,2009,83,2009,15.3,2009
377,Libya,434,LBY,2009,56,74.31974029541016,***,2012,***,2012,***,2012,***,2015,1.2727760076522827,--,30.0,2010,375.77197265625,--,11.264826774597168,2009,71.78095121951222,2009,98,2009,98,2009,96.6,2009
378,Sri Lanka,144,LKA,2009,54,74.42048645019531,***,2009,***,2009,***,2009,***,2009,2.118410348892212,--,4.8,2010,658.5,2006,6.532872676849365,2009,74.28029268292684,2009,97,2009,97,2009,90.6,2009
379,Lesotho,426,LSO,2009,121,58.328556060791016,***,2011,***,2011,***,2011,***,2011,1.8796577453613281,--,12.8,2010,698.7149047851562,--,5.65169620513916,2009,46.63458536585367,2009,91,2009,84,2009,28.0,2009
380,Lithuania,440,LTU,2009,88,69.2147216796875,***,2009,***,2009,***,2009,***,2009,1.8718022108078003,2009,23.8,2010,749.4,2009,8.845675468444824,2009,72.91463414634147,2009,98,2009,96,2009,90.1,2009
381,Luxembourg,442,LUX,2009,1,84.24256896972656,***,2008,***,2008,***,2008,***,2008,-2.009472131729126,--,20.8,2010,116.2523422241211,--,6.585287094116211,2009,80.63658536585366,2009,99,2009,96,2009,97.6,2009
382,Latvia,428,LVA,2009,94,67.68601989746094,***,2009,***,2009,***,2009,***,2009,1.2809338569641113,2009,22.2,2010,765.8,2009,8.730888366699219,2009,73.08048780487806,2009,94,2009,92,2009,85.2,2009
383,Morocco,504,MAR,2009,90,68.75336456298828,***,2011,***,2010,***,2011,***,2011,2.6081936359405518,--,20.2,2010,678.8966064453125,--,10.140342712402344,2009,72.14821951219511,2009,99,2009,98,2009,72.9,2009
384,Moldova,498,MDA,2009,108,63.349239349365234,***,2009,***,2009,***,2009,***,2009,2.6672282218933105,2009,13.6,2010,983.2,2009,8.187944412231445,2009,69.14329268292683,2009,85,2009,90,2009,75.0,2009
385,Madagascar,450,MDG,2009,133,55.950748443603516,***,2008,***,2008,***,2008,***,2008,4.064990997314453,--,4.5,2010,978.7467041015625,--,3.4968135356903076,2009,62.918170731707335,2009,77,2009,63,2009,11.2,2009
386,Mexico,484,MEX,2009,47,74.98567199707031,***,2009,***,2009,***,2009,***,2009,0.9162907600402832,2009,25.9,2010,586.0,2009,9.255685806274414,2009,75.87741463414635,2009,95,2009,96,2009,81.6,2009
387,Macedonia,807,MKD,2009,72,71.80158233642578,***,2009,***,2009,***,2009,***,2009,-0.5108256340026855,2009,18.2,2010,736.5,2009,12.0,2015,74.5789512195122,2009,96,2009,96,2009,90.6,2009
388,Mali,466,MLI,2009,128,56.40283966064453,***,2009,***,2009,***,2009,***,2009,3.3594753742218018,--,5.7,2010,705.2713012695312,--,4.377195358276367,2009,55.63343902439025,2009,73,2009,73,2009,22.0,2009
389,Malta,470,MLT,2009,50,74.77938842773438,***,2008,***,2008,***,2008,***,2008,-0.9680723547935486,--,24.7,2010,254.5763702392578,--,9.687816619873047,2009,80.24146341463415,2009,73,2009,82,2009,100.0,2009
390,Montenegro,499,MNE,2009,69,72.39484405517578,***,2009,***,2009,***,2009,***,2009,-2.3025851249694824,2009,18.7,2010,652.4,2009,8.148446083068848,2009,74.68782926829269,2009,92,2009,86,2009,93.0,2009
391,Mongolia,496,MNG,2009,96,67.47145080566406,***,2008,***,2008,***,2008,***,2008,1.1910288333892822,--,14.4,2010,617.91259765625,--,7.603145599365234,2009,67.07680487804879,2009,95,2009,94,2009,55.8,2009
392,Mozambique,508,MOZ,2009,135,54.81227493286133,***,2008,***,2008,***,2008,***,2008,4.509055137634277,--,4.4,2010,1233.7760009765625,--,4.184988975524902,2009,52.69126829268293,2009,74,2009,80,2009,18.4,2009
393,Mauritania,478,MRT,2009,131,56.11182403564453,***,2009,***,2009,***,2009,***,2009,2.1130177974700928,--,8.2,2010,777.4343872070312,--,6.012025833129883,2009,61.71073170731708,2009,64,2009,59,2009,34.4,2009
394,Mauritius,480,MUS,2009,46,74.99015808105469,***,2011,***,2011,***,2011,***,2011,0.2623642683029175,2009,15.0,2010,736.7,2009,12.815841674804688,2009,72.88243902439025,2009,99,2009,99,2009,92.6,2009
395,Malawi,454,MWI,2009,109,63.07045364379883,***,2009,***,2009,***,2009,***,2009,3.6536455154418945,--,4.2,2010,878.1685180664062,--,3.8914506435394287,2009,55.08236585365854,2009,93,2009,92,2009,38.3,2009
396,Malaysia,458,MYS,2009,30,78.28895568847656,***,2009,***,2009,***,2009,***,2009,1.3327419757843018,--,10.5,2010,600.9100341796875,--,8.907454490661621,2009,74.03841463414635,2009,97,2009,95,2009,95.0,2009
397,Namibia,516,NAM,2009,105,64.00736236572266,***,2007,***,2007,***,2007,***,2007,1.0934867858886719,--,16.8,2010,746.0214233398438,--,4.818002223968506,2009,61.4409024390244,2009,83,2009,76,2009,31.7,2009
