,country,isonum,isocode,year,rank_soci,soci,strange,strange_year,polic,polic_year,respect,respect_year,friends,friends_year,voice,voice_year,vtf,vtf_year,finhelp,finhelp_year,volunt,volunt_year,help,help_year,donate,donate_year
299,Angola,24,AGO,2009,92,46.542911529541016,***,2011,***,2011,***,2011,***,2011,***,2012,34.944000244140625,2009,***,2012,***,2011,***,2011,***,2011
300,Albania,8,ALB,2009,125,41.82870864868164,***,2009,***,2009,***,2009,***,2012,***,2012,48.23149871826172,2009,***,2012,***,2009,***,2009,***,2009
301,United Arab Emirates,784,ARE,2009,52,52.18182373046875,***,2009,***,--,***,2009,***,2010,***,2010,0.0,2009,***,2012,***,2009,***,2009,***,2009
302,Argentina,32,ARG,2009,67,50.23413848876953,***,2009,***,2009,***,2009,***,2010,***,2009,65.1510009765625,2009,***,2012,***,2009,***,2009,***,2009
303,Armenia,51,ARM,2009,142,39.317848205566406,***,2009,***,2009,***,2009,***,2010,***,2008,44.99250030517578,2009,***,2011,***,2009,***,2009,***,2009
304,Australia,36,AUS,2009,1,67.21636962890625,***,2008,***,2008,***,2008,***,2010,***,2008,94.76000213623047,2009,***,2012,***,2008,***,2008,***,2008
305,Austria,40,AUT,2009,10,62.30954360961914,***,2009,***,2009,***,2009,***,2010,***,2008,78.80999755859375,2009,***,2012,***,2009,***,2009,***,2009
306,Azerbaijan,31,AZE,2009,116,42.77593231201172,***,2009,***,2009,***,2009,***,2010,***,2008,6.070500373840332,2009,***,2012,***,2009,***,2009,***,2009
307,Burundi,108,BDI,2009,148,36.03563690185547,***,2009,***,2009,***,2009,***,2011,***,2008,61.78400421142578,2009,***,2014,***,2009,***,2009,***,2009
308,Belgium,56,BEL,2009,20,58.1805534362793,***,2008,***,2008,***,2008,***,2010,***,2008,81.97200012207031,2009,***,2012,***,2008,***,2008,***,2008
309,Benin,204,BEN,2009,146,36.403934478759766,***,2008,***,2008,***,2008,***,2011,***,2008,49.88650131225586,2009,***,2012,***,2008,***,2008,***,2008
310,Burkina Faso,854,BFA,2009,122,42.00977325439453,***,2008,***,2008,***,2008,***,2010,***,2008,28.21500015258789,2009,***,2012,***,2008,***,2008,***,2008
311,Bangladesh,50,BGD,2009,136,40.86113739013672,***,2009,***,2009,***,2009,***,2010,***,2008,63.94499969482422,2009,***,2011,***,2009,***,2009,***,2009
312,Bulgaria,100,BGR,2009,115,42.84581756591797,***,2009,***,2009,***,2009,***,2010,***,2010,57.60799789428711,2009,***,2012,***,2009,***,2009,***,2009
313,Bahrain,48,BHR,2009,40,53.04727554321289,***,2009,***,--,***,2009,***,2010,***,2010,11.039999961853027,2009,***,2012,***,2009,***,2009,***,2009
314,Belarus,112,BLR,2009,114,42.886863708496094,***,2009,***,2009,***,2009,***,2010,***,2008,11.51099967956543,2009,***,2011,***,2009,***,2009,***,2009
315,Belize,84,BLZ,2009,71,49.93008804321289,***,2007,***,2007,***,2007,***,2014,***,2007,69.46199798583984,2009,***,2014,***,2007,***,2007,***,2007
316,Bolivia,68,BOL,2009,82,47.83489227294922,***,2009,***,2009,***,2009,***,2010,***,2009,80.36750793457031,2009,***,2012,***,2009,***,2009,***,2009
317,Brazil,76,BRA,2009,53,52.088321685791016,***,2009,***,2009,***,2009,***,2010,***,2009,74.9429931640625,2009,***,2012,***,2009,***,2009,***,2009
318,Botswana,72,BWA,2009,51,52.18359375,***,2008,***,2008,***,2008,***,2010,***,2008,69.03899383544922,2009,***,2012,***,2008,***,2008,***,2008
319,Central African Republic,140,CAF,2009,74,49.44056701660156,***,2007,***,2007,***,2007,***,2010,***,2007,32.692501068115234,2009,***,--,***,2007,***,2007,***,2007
320,Canada,124,CAN,2009,5,64.75090789794922,***,2009,***,2009,***,2009,***,2010,***,2008,59.52000045776367,2009,***,2012,***,2009,***,2009,***,2009
321,Switzerland,756,CHE,2009,14,61.28546142578125,***,2009,***,2009,***,2009,***,2012,***,2012,48.279998779296875,2009,***,2012,***,2009,***,2009,***,2009
322,Chile,152,CHL,2009,46,52.53045654296875,***,2009,***,2009,***,2009,***,2010,***,2009,87.66999816894531,2009,***,2011,***,2009,***,2009,***,2009
323,China,156,CHN,2009,138,40.3636360168457,***,2009,***,--,***,2009,***,2010,***,2009,0.0,2009,***,2011,***,2009,***,2009,***,2009
324,Ivory Coast,384,CIV,2009,140,39.5,***,2009,***,2009,***,2009,***,2013,***,2013,0.0,2009,***,2013,***,2009,***,2009,***,2009
325,Cameroon,120,CMR,2009,96,45.936500549316406,***,2009,***,2009,***,2009,***,2010,***,2008,18.60300064086914,2009,***,2012,***,2009,***,2009,***,2009
326,Democratic Republic of Congo,180,COD,2009,131,41.21443176269531,***,2009,***,2009,***,2009,***,2011,***,2012,52.717498779296875,2009,***,2012,***,2009,***,2009,***,2009
327,Congo,178,COG,2009,137,40.400360107421875,***,2008,***,2008,***,2008,***,2011,***,2008,20.808000564575195,2009,***,2012,***,2008,***,2008,***,2008
328,Colombia,170,COL,2009,43,52.74620819091797,***,2009,***,2009,***,2009,***,2010,***,2009,34.41650390625,2009,***,2011,***,2009,***,2009,***,2009
329,Comoros,174,COM,2009,123,41.86363220214844,***,2009,***,2009,***,2009,***,2010,***,2010,0.0,2009,***,2012,***,2009,***,2009,***,2009
330,Costa Rica,188,CRI,2009,32,54.551361083984375,***,2009,***,2009,***,2009,***,2010,***,2009,65.12999725341797,2009,***,2011,***,2009,***,2009,***,2009
331,Cyprus,196,CYP,2009,30,54.8636360168457,***,2009,***,2009,***,2009,***,2010,***,2010,89.0,2009,***,2012,***,2009,***,2009,***,2009
332,Czech Republic,203,CZE,2009,72,49.92029571533203,***,2009,***,2009,***,2009,***,2010,***,2007,61.24650192260742,2009,***,2012,***,2009,***,2009,***,2009
333,Germany,276,DEU,2009,13,61.58091354370117,***,2009,***,2009,***,2009,***,2010,***,2008,70.77999877929688,2009,***,2012,***,2009,***,2009,***,2009
334,Djibouti,262,DJI,2009,49,52.343910217285156,***,2009,***,2009,***,2009,***,2011,***,2008,43.566001892089844,2009,***,--,***,2009,***,2009,***,2009
335,Denmark,208,DNK,2009,6,64.29954528808594,***,2009,***,2009,***,2009,***,2010,***,2008,86.58999633789062,2009,***,2012,***,2009,***,2009,***,2009
336,Dominican Republic,214,DOM,2009,59,50.809730529785156,***,2009,***,2009,***,2009,***,2010,***,2009,50.81399917602539,2009,***,2011,***,2009,***,2009,***,2009
337,Algeria,12,DZA,2009,105,44.37754821777344,***,2010,***,2012,***,2010,***,2011,***,2012,21.305999755859375,2009,***,2012,***,2010,***,2011,***,2010
338,Ecuador,218,ECU,2009,104,44.39954376220703,***,2009,***,2009,***,2009,***,2010,***,2009,56.790000915527344,2009,***,2013,***,2009,***,2009,***,2009
339,Egypt,818,EGY,2009,127,41.62934494018555,***,2009,***,2009,***,2009,***,2010,***,2008,9.845499992370605,2009,***,2013,***,2009,***,2009,***,2009
340,Spain,724,ESP,2009,31,54.741825103759766,***,2009,***,2009,***,2009,***,2010,***,2008,75.31999969482422,2009,***,2012,***,2009,***,2009,***,2009
341,Estonia,233,EST,2009,83,47.71884536743164,***,2009,***,2009,***,2009,***,2011,***,2008,58.81449890136719,2009,***,2012,***,2009,***,2009,***,2009
342,Ethiopia,231,ETH,2009,120,42.17772674560547,***,2012,***,2013,***,2012,***,2013,***,2013,28.90999984741211,2009,***,2012,***,2012,***,2012,***,2012
343,Finland,246,FIN,2009,15,60.86455154418945,***,2008,***,2008,***,2008,***,2010,***,2008,65.0199966430664,2009,***,2012,***,2008,***,2008,***,2008
344,France,250,FRA,2009,37,53.68095779418945,***,2009,***,2009,***,2009,***,2010,***,2008,56.98099899291992,2009,***,2012,***,2009,***,2009,***,2009
345,Gabon,266,GAB,2009,118,42.5,***,2011,***,2011,***,2011,***,2011,***,2012,0.0,2009,***,2012,***,2011,***,2011,***,2011
346,United Kingdom,826,GBR,2009,11,62.289093017578125,***,2009,***,2009,***,2009,***,2010,***,2008,61.36000061035156,2009,***,2012,***,2009,***,2009,***,2009
347,Georgia,268,GEO,2009,130,41.53236389160156,***,2009,***,2009,***,2009,***,2010,***,2008,42.71200180053711,2009,***,2012,***,2009,***,2009,***,2009
348,Ghana,288,GHA,2009,62,50.525821685791016,***,2009,***,2009,***,2009,***,2010,***,2008,62.567996978759766,2009,***,2012,***,2009,***,2009,***,2009
349,Guinea,324,GIN,2009,89,46.79050064086914,***,2011,***,2011,***,2011,***,2011,***,2012,32.39099884033203,2009,***,2012,***,2011,***,2011,***,2011
350,Greece,300,GRC,2009,101,44.81454849243164,***,2009,***,2009,***,2009,***,2010,***,2007,70.91999816894531,2009,***,2012,***,2009,***,2009,***,2009
351,Guatemala,320,GTM,2009,42,52.88246154785156,***,2009,***,2009,***,2009,***,2010,***,2009,54.413997650146484,2009,***,2011,***,2009,***,2009,***,2009
352,Guyana,328,GUY,2009,33,54.54800033569336,***,2007,***,2007,***,2007,***,--,***,2007,55.055999755859375,2009,***,--,***,2007,***,2007,***,2007
353,Hong Kong,344,HKG,2009,39,53.590904235839844,***,2009,***,2009,***,2009,***,2010,***,2008,0.0,2009,***,2012,***,2009,***,2009,***,2009
354,Honduras,340,HND,2009,84,47.524658203125,***,2009,***,2009,***,2009,***,2010,***,2009,42.54249954223633,2009,***,2011,***,2009,***,2009,***,2009
355,Croatia,191,HRV,2009,124,41.84550476074219,***,2009,***,2009,***,2009,***,2012,***,2012,56.60100173950195,2009,***,2012,***,2009,***,2009,***,2009
356,Hungary,348,HUN,2009,78,48.20772933959961,***,2008,***,2008,***,2008,***,2010,***,2008,67.56999969482422,2009,***,2012,***,2008,***,2008,***,2008
357,Indonesia,360,IDN,2009,35,53.85868453979492,***,2009,***,2009,***,2009,***,2010,***,2008,63.890995025634766,2009,***,2012,***,2009,***,2009,***,2009
358,India,356,IND,2009,113,42.92097854614258,***,2009,***,2009,***,2009,***,2010,***,2008,55.261497497558594,2009,***,2012,***,2009,***,2009,***,2009
359,Ireland,372,IRL,2009,7,64.00137329101562,***,2009,***,2009,***,2009,***,2010,***,2008,67.02999877929688,2009,***,2012,***,2009,***,2009,***,2009
360,Iran,364,IRN,2009,98,45.42820739746094,***,2008,***,2008,***,2008,***,2011,***,2008,7.4205002784729,2009,***,2014,***,2008,***,2008,***,2008
361,Iraq,368,IRQ,2009,102,44.8072509765625,***,2009,***,2009,***,2009,***,2010,***,2008,51.75949478149414,2009,***,2012,***,2009,***,2009,***,2009
362,Iceland,352,ISL,2009,8,63.96000289916992,***,2008,***,2008,***,2008,***,2012,***,2008,85.12000274658203,2009,***,2012,***,2008,***,2008,***,2008
363,Israel,376,ISR,2009,50,52.21709060668945,***,2009,***,2009,***,2009,***,2010,***,2008,51.7760009765625,2009,***,2012,***,2009,***,2009,***,2009
364,Italy,380,ITA,2009,24,56.75181579589844,***,2009,***,2009,***,2009,***,2010,***,2008,80.54000091552734,2009,***,2012,***,2009,***,2009,***,2009
365,Jamaica,388,JAM,2009,44,52.6990966796875,***,2011,***,2011,***,2011,***,2011,***,2013,57.380001068115234,2009,***,2011,***,2011,***,2011,***,2011
366,Jordan,400,JOR,2009,94,46.31364059448242,***,2009,***,2007,***,2009,***,2010,***,2008,18.899999618530273,2009,***,2012,***,2009,***,2009,***,2009
367,Japan,392,JPN,2009,77,48.375911712646484,***,2009,***,2009,***,2009,***,2010,***,2008,69.2699966430664,2009,***,2012,***,2009,***,2009,***,2009
368,Kazakhstan,398,KAZ,2009,117,42.531005859375,***,2009,***,2009,***,2009,***,2010,***,2008,13.682001113891602,2009,***,2011,***,2009,***,2009,***,2009
369,Kenya,404,KEN,2009,41,52.942108154296875,***,2009,***,2009,***,2009,***,2010,***,2008,58.726497650146484,2009,***,2012,***,2009,***,2009,***,2009
370,Kyrgyzstan,417,KGZ,2009,107,43.83454132080078,***,2009,***,2009,***,2009,***,2010,***,2008,41.36000061035156,2009,***,2011,***,2009,***,2009,***,2009
371,Cambodia,116,KHM,2009,93,46.414817810058594,***,2009,***,2009,***,2009,***,2010,***,2008,45.125999450683594,2009,***,2011,***,2009,***,2009,***,2009
372,South Korea,410,KOR,2009,90,46.609500885009766,***,2009,***,2009,***,2009,***,2010,***,2008,41.40899658203125,2009,***,2012,***,2009,***,2009,***,2009
373,Kuwait,414,KWT,2009,25,56.265907287597656,***,2009,***,--,***,2009,***,2010,***,2010,8.850000381469727,2009,***,2014,***,2009,***,2009,***,2009
374,Laos,418,LAO,2009,27,54.95291519165039,***,2008,***,2008,***,2008,***,2011,***,2008,14.964000701904297,2009,***,2011,***,2008,***,2008,***,2008
375,Lebanon,422,LBN,2009,91,46.5538215637207,***,2009,***,2009,***,2009,***,2010,***,2008,43.18400192260742,2009,***,2012,***,2009,***,2009,***,2009
376,Liberia,430,LBR,2009,64,50.417823791503906,***,2008,***,2008,***,2008,***,2010,***,2008,61.19199752807617,2009,***,2013,***,2008,***,2008,***,2008
377,Libya,434,LBY,2009,38,53.590911865234375,***,2012,***,--,***,2012,***,2015,***,2012,0.0,2009,***,2012,***,2012,***,2012,***,2012
378,Sri Lanka,144,LKA,2009,23,56.7713623046875,***,2009,***,2009,***,2009,***,2010,***,2008,56.970001220703125,2009,***,2011,***,2009,***,2009,***,2009
379,Lesotho,426,LSO,2009,80,48.18636703491211,***,2011,***,2011,***,2011,***,2011,***,--,44.099998474121094,2009,***,--,***,2011,***,2011,***,2011
380,Lithuania,440,LTU,2009,147,36.20863723754883,***,2009,***,2009,***,2009,***,2010,***,2008,48.59000015258789,2009,***,2012,***,2009,***,2009,***,2009
381,Luxembourg,442,LUX,2009,12,61.58772659301758,***,2008,***,2008,***,2008,***,2010,***,2008,90.93000030517578,2009,***,2012,***,2008,***,2008,***,2008
382,Latvia,428,LVA,2009,95,46.13099670410156,***,2009,***,2009,***,2009,***,2011,***,2008,54.88199996948242,2009,***,2012,***,2009,***,2009,***,2009
383,Morocco,504,MAR,2009,121,42.06364059448242,***,2010,***,2012,***,2010,***,2011,***,2012,7.400000095367432,2009,***,2012,***,2010,***,2011,***,2010
384,Moldova,498,MDA,2009,106,43.992340087890625,***,2009,***,2009,***,2009,***,2010,***,2008,55.83150100708008,2009,***,2011,***,2009,***,2009,***,2009
385,Madagascar,450,MDG,2009,139,39.95136260986328,***,2008,***,2008,***,2008,***,2011,***,2008,33.93000030517578,2009,***,2012,***,2008,***,2008,***,2008
386,Mexico,484,MEX,2009,79,48.18859100341797,***,2009,***,2009,***,2009,***,2010,***,2009,40.14899826049805,2009,***,2011,***,2009,***,2009,***,2009
387,Macedonia,807,MKD,2009,119,42.2768440246582,***,2009,***,2009,***,2009,***,2012,***,2012,55.09049987792969,2009,***,2012,***,2009,***,2009,***,2009
388,Mali,466,MLI,2009,110,43.24370574951172,***,2009,***,2009,***,2009,***,2010,***,2008,27.361499786376953,2009,***,2012,***,2009,***,2009,***,2009
389,Malta,470,MLT,2009,16,60.74091339111328,***,2008,***,2008,***,2008,***,2010,***,2008,93.30000305175781,2009,***,2012,***,2008,***,2008,***,2008
390,Montenegro,499,MNE,2009,103,44.72184371948242,***,2009,***,2009,***,2009,***,2012,***,2012,62.88050079345703,2009,***,2012,***,2009,***,2009,***,2009
391,Mongolia,496,MNG,2009,61,50.60499954223633,***,2008,***,2008,***,2008,***,2010,***,2008,74.30999755859375,2009,***,2011,***,2008,***,2008,***,2008
392,Mozambique,508,MOZ,2009,100,45.060455322265625,***,2008,***,2008,***,2008,***,2011,***,2008,33.32999801635742,2009,***,2015,***,2008,***,2008,***,2008
393,Mauritania,478,MRT,2009,70,49.94527816772461,***,2009,***,2009,***,2009,***,2010,***,2008,27.79599952697754,2009,***,2012,***,2009,***,2009,***,2009
394,Mauritius,480,MUS,2009,22,56.92046356201172,***,2011,***,2011,***,2011,***,2011,***,--,81.25,2009,***,2014,***,2011,***,2011,***,2011
395,Malawi,454,MWI,2009,34,54.459999084472656,***,2009,***,2009,***,2009,***,2011,***,2007,43.12000274658203,2009,***,2012,***,2009,***,2009,***,2009
396,Malaysia,458,MYS,2009,56,51.62690734863281,***,2009,***,2009,***,2009,***,2010,***,2008,60.79199981689453,2009,***,2012,***,2009,***,2009,***,2009
397,Namibia,516,NAM,2009,48,52.40217971801758,***,2007,***,2007,***,2007,***,2014,***,2007,67.8479995727539,2009,***,2014,***,2007,***,2007,***,2007
398,Niger,562,NER,2009,88,47.210662841796875,***,2009,***,2009,***,2009,***,2010,***,2008,15.634499549865723,2009,***,2012,***,2009,***,2009,***,2009
399,Nigeria,566,NGA,2009,60,50.75109100341797,***,2009,***,2009,***,2009,***,2010,***,2008,34.52399826049805,2009,***,2012,***,2009,***,2009,***,2009
400,Nicaragua,558,NIC,2009,86,47.33606719970703,***,2009,***,2009,***,2009,***,2010,***,2009,63.39350128173828,2009,***,2011,***,2009,***,2009,***,2009
401,Netherlands,528,NLD,2009,3,66.15227508544922,***,2008,***,2008,***,2008,***,2010,***,2008,80.3499984741211,2009,***,2012,***,2008,***,2008,***,2008
402,Norway,578,NOR,2009,9,62.65318298339844,***,2008,***,2008,***,2008,***,2012,***,2008,76.37000274658203,2009,***,2012,***,2008,***,2008,***,2008
403,Nepal,524,NPL,2009,141,39.43781661987305,***,2009,***,2009,***,2009,***,2010,***,2008,50.63199996948242,2009,***,2011,***,2009,***,2009,***,2009
404,New Zealand,554,NZL,2009,2,66.93000030517578,***,2008,***,2008,***,2008,***,2010,***,2008,79.45999908447266,2009,***,2012,***,2008,***,2008,***,2008
405,Oman,512,OMN,2009,58,51.194095611572266,***,2011,***,--,***,2011,***,2011,***,--,6.269999980926514,2009,***,--,***,2011,***,--,***,2011
406,Pakistan,586,PAK,2009,145,37.655113220214844,***,2009,***,2009,***,2009,***,2010,***,2008,33.412498474121094,2009,***,2012,***,2009,***,2009,***,2009
407,Panama,591,PAN,2009,47,52.43397903442383,***,2009,***,2009,***,2009,***,2010,***,2009,66.54750061035156,2009,***,2011,***,2009,***,2009,***,2009
408,Peru,604,PER,2009,97,45.783050537109375,***,2009,***,2009,***,2009,***,2010,***,2009,84.22700500488281,2009,***,2011,***,2009,***,2009,***,2009
409,Philippines,608,PHL,2009,26,56.150550842285156,***,2009,***,2009,***,2009,***,2010,***,2008,57.3120002746582,2009,***,2011,***,2009,***,2009,***,2009
410,Poland,616,POL,2009,75,48.858184814453125,***,2009,***,2009,***,2009,***,2010,***,2008,53.880001068115234,2009,***,2012,***,2009,***,2009,***,2009
411,Portugal,620,PRT,2009,45,52.621822357177734,***,2009,***,2009,***,2009,***,2010,***,2008,59.68000030517578,2009,***,2012,***,2009,***,2009,***,2009
412,Paraguay,600,PRY,2009,87,47.26963806152344,***,2009,***,2009,***,2009,***,2010,***,2009,58.932003021240234,2009,***,2011,***,2009,***,2009,***,2009
413,Qatar,634,QAT,2009,21,57.27273178100586,***,2009,***,2009,***,2009,***,2011,***,2008,0.0,2009,***,2012,***,2009,***,2009,***,2009
414,Romania,642,ROU,2009,132,41.10182189941406,***,2009,***,2009,***,2009,***,2010,***,2009,37.2400016784668,2009,***,2012,***,2009,***,2009,***,2009
415,Russia,643,RUS,2009,129,41.572593688964844,***,2009,***,2009,***,2009,***,2010,***,2008,44.59700012207031,2009,***,2011,***,2009,***,2009,***,2009
416,Rwanda,646,RWA,2009,126,41.703407287597656,***,2009,***,2009,***,2009,***,2011,***,2008,34.474998474121094,2009,***,2012,***,2009,***,2009,***,2009
417,Saudi Arabia,682,SAU,2009,81,47.909088134765625,***,2009,***,2009,***,2009,***,2010,***,2008,0.0,2009,***,2012,***,2009,***,2009,***,2009
418,Serbia,688,SCG,2009,134,40.96432113647461,***,2009,***,2009,***,2009,***,2012,***,2012,55.214996337890625,2009,***,2012,***,2009,***,2009,***,2009
419,Sudan,729,SDN,2009,28,54.90909957885742,***,2009,***,2010,***,2009,***,2010,***,2010,0.0,2009,***,2012,***,2009,***,2009,***,2009
420,Senegal,686,SEN,2009,76,48.660797119140625,***,2009,***,2009,***,2009,***,2010,***,2008,29.537500381469727,2009,***,2012,***,2009,***,2009,***,2009
421,Singapore,702,SGP,2009,57,51.254730224609375,***,2009,***,2009,***,2009,***,2010,***,2008,37.604000091552734,2009,***,2011,***,2009,***,2009,***,2009
422,Sierra Leone,694,SLE,2009,29,54.883182525634766,***,2008,***,2008,***,2008,***,2010,***,2008,64.43000793457031,2009,***,2013,***,2008,***,2008,***,2008
423,El Salvador,222,SLV,2009,111,43.10100173950195,***,2009,***,2009,***,2009,***,2010,***,2009,48.22200012207031,2009,***,2012,***,2009,***,2009,***,2009
424,Suriname,740,SUR,2009,65,50.409549713134766,***,2012,***,2012,***,2012,***,2012,***,2012,35.01000213623047,2009,***,2012,***,2012,***,2012,***,2012
425,Slovakia,703,SVK,2009,85,47.4849967956543,***,2010,***,2010,***,2010,***,2010,***,2010,54.66999816894531,2009,***,2012,***,2010,***,2010,***,2010
426,Slovenia,705,SVN,2009,19,58.36818313598633,***,2009,***,2009,***,2009,***,2010,***,2010,63.099998474121094,2009,***,2012,***,2009,***,2009,***,2009
427,Sweden,752,SWE,2009,18,59.681373596191406,***,2009,***,2009,***,2009,***,2010,***,2008,81.98999786376953,2009,***,2012,***,2009,***,2009,***,2009
428,Swaziland,748,SWZ,2009,73,49.68182373046875,***,2011,***,2011,***,2011,***,2011,***,--,0.0,2009,***,--,***,2011,***,2011,***,2011
429,Chad,148,TCD,2009,143,38.9981803894043,***,2009,***,2009,***,2009,***,2010,***,2008,20.96000099182129,2009,***,2012,***,2009,***,2009,***,2009
430,Togo,768,TGO,2009,149,27.385271072387695,***,2008,***,2008,***,2008,***,2011,***,2008,25.47599983215332,2009,***,2014,***,2008,***,2008,***,2008
431,Thailand,764,THA,2009,17,60.31623458862305,***,2009,***,2009,***,2009,***,2010,***,2008,54.957000732421875,2009,***,2012,***,2009,***,2009,***,2009
432,Tajikistan,762,TJK,2009,109,43.48320388793945,***,2009,***,2009,***,2009,***,2010,***,2008,32.63050079345703,2009,***,2011,***,2009,***,2009,***,2009
433,Trinidad and Tobago,780,TTO,2009,54,51.683189392089844,***,2008,***,2008,***,2008,***,2011,***,2008,66.02999877929688,2009,***,2011,***,2008,***,2008,***,2008
434,Tunisia,788,TUN,2009,69,50.17363357543945,***,2009,***,2010,***,2009,***,2010,***,2010,26.82000160217285,2009,***,2012,***,2009,***,2010,***,2009
435,Turkey,792,TUR,2009,128,41.618751525878906,***,2009,***,2009,***,2009,***,2010,***,2008,71.61250305175781,2009,***,2012,***,2009,***,2009,***,2009
436,Tanzania,834,TZA,2009,36,53.69718551635742,***,2009,***,2009,***,2009,***,2010,***,2008,31.33799934387207,2009,***,2012,***,2009,***,2009,***,2009
437,Uganda,800,UGA,2009,68,50.20909118652344,***,2009,***,2009,***,2009,***,2010,***,2008,30.599998474121094,2009,***,2012,***,2009,***,2009,***,2009
438,Ukraine,804,UKR,2009,144,37.85116195678711,***,2009,***,2009,***,2009,***,2010,***,2008,52.725502014160156,2009,***,2011,***,2009,***,2009,***,2009
439,Uruguay,858,URY,2009,55,51.677734375,***,2009,***,2009,***,2009,***,2010,***,2009,89.91000366210938,2009,***,2012,***,2009,***,2009,***,2009
440,United States,840,USA,2009,4,65.24363708496094,***,2009,***,2009,***,2009,***,2010,***,2008,64.36000061035156,2009,***,2012,***,2009,***,2009,***,2009
441,Venezuela,862,VEN,2009,99,45.265499114990234,***,2009,***,2009,***,2009,***,2010,***,2009,8.840999603271484,2009,***,2011,***,2009,***,2009,***,2009
442,Vietnam,704,VNM,2009,108,43.58845520019531,***,2009,***,2009,***,2009,***,2010,***,2008,14.946000099182129,2009,***,2012,***,2009,***,2009,***,2009
443,Yemen,887,YEM,2009,135,40.86363220214844,***,2009,***,2009,***,2009,***,2010,***,2010,0.0,2009,***,2012,***,2009,***,2009,***,2009
444,South Africa,710,ZAF,2009,66,50.3834114074707,***,2009,***,2009,***,2009,***,2010,***,2008,73.43500518798828,2009,***,2012,***,2009,***,2009,***,2009
445,Zambia,894,ZMB,2009,63,50.460411071777344,***,2009,***,2009,***,2009,***,2011,***,2008,60.12900161743164,2009,***,2012,***,2009,***,2009,***,2009
446,Zimbabwe,716,ZWE,2009,112,43.065704345703125,***,2009,***,2009,***,2009,***,2010,***,2008,22.44550132751465,2009,***,2012,***,2009,***,2009,***,2009
447,Afghanistan,4,AFG,2010,138,40.482887268066406,***,2010,***,2010,***,2010,***,2010,***,2010,20.62350082397461,2010,***,2011,***,2010,***,2010,***,2010
448,Angola,24,AGO,2010,95,46.542911529541016,***,2011,***,2011,***,2011,***,2011,***,2012,34.944000244140625,2010,***,2012,***,2011,***,2011,***,2011
449,Albania,8,ALB,2010,142,39.46506881713867,***,2010,***,2010,***,2010,***,2012,***,2012,48.23149871826172,2010,***,2012,***,2010,***,2010,***,2010
450,United Arab Emirates,784,ARE,2010,43,53.181819915771484,***,2010,***,--,***,2010,***,2010,***,2010,0.0,2010,***,2012,***,2010,***,2010,***,2010
451,Argentina,32,ARG,2010,68,50.415958404541016,***,2010,***,2010,***,2010,***,2010,***,2010,65.1510009765625,2010,***,2012,***,2010,***,2010,***,2010
452,Armenia,51,ARM,2010,145,38.27238845825195,***,2010,***,2010,***,2010,***,2010,***,2010,44.99250030517578,2010,***,2011,***,2010,***,2010,***,2010
453,Australia,36,AUS,2010,1,68.23727416992188,***,2010,***,2010,***,2010,***,2010,***,2010,93.22000122070312,2010,***,2012,***,2010,***,2010,***,2010
454,Austria,40,AUT,2010,8,64.44590759277344,***,2010,***,2010,***,2010,***,2010,***,2010,78.80999755859375,2010,***,2012,***,2010,***,2010,***,2010
455,Azerbaijan,31,AZE,2010,140,39.56654357910156,***,2010,***,2010,***,2010,***,2010,***,2010,7.464000225067139,2010,***,2012,***,2010,***,2010,***,2010
456,Burundi,108,BDI,2010,148,35.65200424194336,***,2009,***,2009,***,2009,***,2011,***,2008,53.34400177001953,2010,***,2014,***,2009,***,2009,***,2009
457,Belgium,56,BEL,2010,21,58.013553619384766,***,2010,***,2010,***,2010,***,2010,***,2010,80.2979965209961,2010,***,2012,***,2010,***,2010,***,2010
458,Benin,204,BEN,2010,147,36.403934478759766,***,2008,***,2008,***,2008,***,2011,***,2008,49.88650131225586,2010,***,2012,***,2008,***,2008,***,2008
459,Burkina Faso,854,BFA,2010,108,44.55522537231445,***,2010,***,2010,***,2010,***,2010,***,2010,28.21500015258789,2010,***,2012,***,2010,***,2010,***,2010
460,Bangladesh,50,BGD,2010,92,46.63386535644531,***,2010,***,2010,***,2010,***,2010,***,2010,63.94499969482422,2010,***,2011,***,2010,***,2010,***,2010
461,Bulgaria,100,BGR,2010,119,43.39126968383789,***,2010,***,2010,***,2010,***,2010,***,2010,57.60799789428711,2010,***,2012,***,2010,***,2010,***,2010
462,Bahrain,48,BHR,2010,66,50.53409194946289,***,2010,***,--,***,2010,***,2010,***,2010,16.75,2010,***,2012,***,2010,***,2010,***,2010
463,Belarus,112,BLR,2010,100,45.84141159057617,***,2010,***,2010,***,2010,***,2010,***,2010,11.51099967956543,2010,***,2011,***,2010,***,2010,***,2010
464,Belize,84,BLZ,2010,71,49.93008804321289,***,2007,***,2007,***,2007,***,2014,***,2007,69.46199798583984,2010,***,2014,***,2007,***,2007,***,2007
465,Bolivia,68,BOL,2010,97,46.198524475097656,***,2010,***,2010,***,2010,***,2010,***,2010,80.36750793457031,2010,***,2012,***,2010,***,2010,***,2010
466,Brazil,76,BRA,2010,53,51.98600387573242,***,2010,***,2010,***,2010,***,2010,***,2010,73.6919937133789,2010,***,2012,***,2010,***,2010,***,2010
467,Botswana,72,BWA,2010,51,52.27450180053711,***,2010,***,2010,***,2010,***,2010,***,2010,69.03899383544922,2010,***,2012,***,2010,***,2010,***,2010
